id,firm_id,dimension,value,notes
1,1,Founded,1949,
2,1,Years operating,77,
3,1,Aggregate recovered claimed,$1B+,
4,1,Number of attorneys,~7-9,
5,1,Locations,Clayton,
6,1,Founder identity,Multi-gen legacy (Singer son),
7,1,Brand archetype,Heritage trial firm,
8,1,Tagline hook,Protecting STL Since 1949,
9,1,Trial readiness claim,Yes - comes prepared,
10,1,Verifiable individual trial counts,Not disclosed per-atty,
11,1,Defense-side experience,VAGUE - claims former defense attys,
12,1,Caseload disclosed commitment,No,
13,1,Practice focus,Generalist PI,
14,1,Specialty depth claim,Generalist scale,
15,1,Content investment level,Active social with attorney intros,
16,1,Podcast presence,,
17,1,Social FB likes,8195,
18,1,Brand voice,Heritage warmth,
19,1,Education connection,"Mixed (Wash U, others)",
20,1,Community foundation,Long-standing community work,
21,1,Anti-marketing posture,None - universal fit,
22,1,Family/heritage framing,Strong (1949 legacy),
23,1,Trial attorney count visible,Multiple (rotating),
24,2,Founded,1985+,
25,2,Years operating,40+,
26,2,Aggregate recovered claimed,$500M+,
27,2,Number of attorneys,~10+,
28,2,Locations,St. Louis,
29,2,Founder identity,Mark Cantor solo brand,
30,2,Brand archetype,Founder personality,
31,2,Tagline hook,Count on Cantor,
32,2,Trial readiness claim,Generic,
33,2,Verifiable individual trial counts,Aggregate only,
34,2,Defense-side experience,Not claimed,
35,2,Caseload disclosed commitment,No,
36,2,Practice focus,Generalist PI,
37,2,Specialty depth claim,Local generalist,
38,2,Content investment level,Daily generic posts,
39,2,Podcast presence,,
40,2,Social FB likes,892,
41,2,Brand voice,Sales-aggressive,
42,2,Education connection,Harris-Stowe (Mark teaches),
43,2,Community foundation,Foundation 2019 - multi-cause,
44,2,Anti-marketing posture,,
45,2,Family/heritage framing,Family-style like ours,
46,2,Trial attorney count visible,1-2 (Mark prominent),
47,3,Founded,Multi-decade,
48,3,Years operating,30+,
49,3,Aggregate recovered claimed,$2B+,
50,3,Number of attorneys,~50+,
51,3,Locations,Multi-state,
52,3,Founder identity,John Simon celebrity,
53,3,Brand archetype,Celebrity attorney,
54,3,Tagline hook,Prepare every case as if for trial,
55,3,Trial readiness claim,Yes - strong,
56,3,Verifiable individual trial counts,$462M trucking verdict,
57,3,Defense-side experience,Not claimed,
58,3,Caseload disclosed commitment,No,
59,3,Practice focus,Multi-state PI + class actions,
60,3,Specialty depth claim,Trucking + class action,
61,3,Content investment level,4 podcasts (heavy investment),
62,3,Podcast presence,FOUR active podcasts,
63,3,Social FB likes,1521,
64,3,Brand voice,Authoritative peer-respected,
65,3,Education connection,John Simon adjunct SLU,
66,3,Community foundation,"LSEM 20+ yrs, SLU Law scholarship",
67,3,Anti-marketing posture,,
68,3,Family/heritage framing,Big enough small enough,
69,3,Trial attorney count visible,Multiple incl John,
70,4,Founded,2010,
71,4,Years operating,16,
72,4,Aggregate recovered claimed,$50-100M+,
73,4,Number of attorneys,~5-7,
74,4,Locations,STL/Creve Coeur/Ladue,
75,4,Founder identity,2 named partners,
76,4,Brand archetype,Specialty trial firm,
77,4,Tagline hook,Premier PI Firm,
78,4,Trial readiness claim,Yes - TTLA Top 10,
79,4,Verifiable individual trial counts,Top 10 TTLA recognition,
80,4,Defense-side experience,Not claimed,
81,4,Caseload disclosed commitment,No,
82,4,Practice focus,Tractor-trailer specialist,
83,4,Specialty depth claim,Trucking natl co-counsel,
84,4,Content investment level,Reviews-focused,
85,4,Podcast presence,None visible,
86,4,Social FB likes,Reviews-focused,
87,4,Brand voice,Guerilla warfare (Myers),
88,4,Education connection,Mixed,
89,4,Community foundation,Limited visible,
90,4,Anti-marketing posture,,
91,4,Family/heritage framing,Moderate,
92,4,Trial attorney count visible,2 (Schultz + Myers),
93,5,Founded,1973,
94,5,Years operating,53,
95,5,Aggregate recovered claimed,$1B+,
96,5,Number of attorneys,~5-6,
97,5,Locations,STL/Clayton,
98,5,Founder identity,Founders retired,
99,5,Brand archetype,Family-feel heritage,
100,5,Tagline hook,Family-feel testimonials,
101,5,Trial readiness claim,Fully prepared,
102,5,Verifiable individual trial counts,Aggregate only,
103,5,Defense-side experience,Not claimed,
104,5,Caseload disclosed commitment,No,
105,5,Practice focus,Generalist PI,
106,5,Specialty depth claim,Generalist scale,
107,5,Content investment level,Testimonial-heavy,
108,5,Podcast presence,,
109,5,Social FB likes,Lower-key,
110,5,Brand voice,Family warmth,
111,5,Education connection,Mixed (Mizzou Law),
112,5,Community foundation,Standard charity,
113,5,Anti-marketing posture,,
114,5,Family/heritage framing,Strong (like family),
115,5,Trial attorney count visible,Multiple,
116,6,Founded,2016,
117,6,Years operating,9,
118,6,Aggregate recovered claimed,$300M+,
119,6,Number of attorneys,~5-6,
120,6,Locations,STL/Creve Coeur/Chicago/IL,
121,6,Founder identity,Family - father + sons,
122,6,Brand archetype,Family firm,
123,6,Tagline hook,Innovating the way to help,
124,6,Trial readiness claim,Trial attys prepared,
125,6,Verifiable individual trial counts,Aggregate only,
126,6,Defense-side experience,Not claimed,
127,6,Caseload disclosed commitment,No,
128,6,Practice focus,Generalist PI,
129,6,Specialty depth claim,Generalist scale,
130,6,Content investment level,Active LinkedIn case stories,
131,6,Podcast presence,,
132,6,Social FB likes,3834,
133,6,Brand voice,Family + plain-spoken,
134,6,Education connection,All Brunings SLU Law,
135,6,Community foundation,Boys Hope Girls Hope sponsorships,
136,6,Anti-marketing posture,,
137,6,Family/heritage framing,Strong (multi-gen family),
138,6,Trial attorney count visible,3 (family),
139,7,Founded,1980s,
140,7,Years operating,40+,
141,7,Aggregate recovered claimed,$1B+,
142,7,Number of attorneys,100+,
143,7,Locations,Multi-MO+IL,
144,7,Founder identity,Terry Crouppen TV brand,
145,7,Brand archetype,TV/volume firm,
146,7,Tagline hook,TV ad slogans,
147,7,Trial readiness claim,Volume settlement model,
148,7,Verifiable individual trial counts,Aggregate only,
149,7,Defense-side experience,Not claimed,
150,7,Caseload disclosed commitment,No (high volume),
151,7,Practice focus,Volume PI,
152,7,Specialty depth claim,Generalist volume,
153,7,Content investment level,TV-heavy + volume social,
154,7,Podcast presence,None visible,
155,7,Social FB likes,High volume,
156,7,Brand voice,TV salesy,
157,7,Education connection,Mixed,
158,7,Community foundation,TV-promoted causes,
159,7,Anti-marketing posture,None - TV reach claim,
160,7,Family/heritage framing,Friendly natl,
161,7,Trial attorney count visible,Many (TV-led),
162,8,Founded,1988,
163,8,Years operating,37,
164,8,Aggregate recovered claimed,$25B+ natl,
165,8,Number of attorneys,"1,000+",
166,8,Locations,National (50+),
167,8,Founder identity,John Morgan brand,
168,8,Brand archetype,National volume firm,
169,8,Tagline hook,For the People,
170,8,Trial readiness claim,Volume settlement model,
171,8,Verifiable individual trial counts,Aggregate only,
172,8,Defense-side experience,Not claimed,
173,8,Caseload disclosed commitment,No (very high volume),
174,8,Practice focus,Volume PI natl,
175,8,Specialty depth claim,Generalist volume natl,
176,8,Content investment level,Massive natl media spend,
177,8,Podcast presence,Some (national),
178,8,Social FB likes,Massive natl,
179,8,Brand voice,TV salesy natl,
180,8,Education connection,Mixed natl,
181,8,Community foundation,Natl charity programs,
182,8,Anti-marketing posture,None - For the People,
183,8,Family/heritage framing,For the People,
184,8,Trial attorney count visible,Hundreds (natl),
185,9,Founded,2002,
186,9,Years operating,23,
187,9,Aggregate recovered claimed,Mass tort billions,
188,9,Number of attorneys,100+,
189,9,Locations,National,
190,9,Founder identity,James Onder mass tort,
191,9,Brand archetype,Mass tort specialist,
192,9,Tagline hook,Mass tort specialist,
193,9,Trial readiness claim,Mass tort trial work,
194,9,Verifiable individual trial counts,Mass tort verdicts,
195,9,Defense-side experience,Not claimed,
196,9,Caseload disclosed commitment,No (mass tort),
197,9,Practice focus,Mass tort,
198,9,Specialty depth claim,Mass tort co-counsel,
199,9,Content investment level,Targeted mass-tort SEO,
200,9,Podcast presence,None visible,
201,9,Social FB likes,Targeted mass-tort,
202,9,Brand voice,Class action authority,
203,9,Education connection,Mixed,
204,9,Community foundation,Mass tort advocacy,
205,9,Anti-marketing posture,None - case-fit screening,
206,9,Family/heritage framing,,
207,9,Trial attorney count visible,Many (mass tort),
208,10,Founded,Multi-decade,
209,10,Years operating,20+,
210,10,Aggregate recovered claimed,Not prominent,
211,10,Number of attorneys,20+,
212,10,Locations,STL+KC,
213,10,Founder identity,Founder duo,
214,10,Brand archetype,Founder-brand firm,
215,10,Tagline hook,Settlement focus,
216,10,Trial readiness claim,Settlement focus,
217,10,Verifiable individual trial counts,Not prominent,
218,10,Defense-side experience,Not claimed,
219,10,Caseload disclosed commitment,No,
220,10,Practice focus,Generalist PI,
221,10,Specialty depth claim,Generalist,
222,10,Content investment level,Lower-key,
223,10,Podcast presence,,
224,10,Social FB likes,Lower-key,
225,10,Brand voice,Conventional,
226,10,Education connection,Mixed,
227,10,Community foundation,Limited visible,
228,10,Anti-marketing posture,,
229,10,Family/heritage framing,Limited,
230,10,Trial attorney count visible,Multiple (founders),
